iter	Passed	Remaining
0	255	255157
1	372	185736
2	510	169821
3	644	160499
4	770	153242
5	889	147322
6	1019	144679
7	1151	142787
8	1269	139733
9	1396	138219
10	1525	137168
11	1667	137310
12	1804	136965
13	1916	134993
14	2040	133994
15	2160	132847
16	2282	131997
17	2412	131630
18	2540	131144
19	2668	130751
20	2766	128964
21	2897	128796
22	3024	128490
23	3153	128246
24	3281	127971
25	3460	129634
26	3574	128815
27	3771	130939
28	3893	130354
29	4030	130309
30	4151	129781
31	4213	127453
32	4326	126772
33	4430	125889
34	4552	125521
35	4684	125441
36	4802	125006
37	4925	124688
38	5049	124423
39	5170	124090
40	5288	123700
41	5406	123328
42	5525	122966
43	5636	122461
44	5765	122358
45	5888	122130
46	6007	121816
47	6128	121539
48	6241	121127
49	6360	120844
50	6474	120473
51	6594	120227
52	6726	120188
53	6850	120004
54	6983	119991
55	7166	120806
56	7303	120822
57	7418	120486
58	7556	120515
59	7673	120220
60	7799	120065
61	7953	120333
62	8087	120287
63	8215	120145
64	8336	119919
65	8468	119837
66	8590	119630
67	8725	119596
68	8832	119180
69	8950	118919
70	9064	118603
71	9182	118354
72	9325	118426
73	9484	118685
74	9603	118437
75	9726	118255
76	9845	118018
77	9947	117579
78	10109	117857
79	10244	117807
80	10455	118623
81	11075	123990
82	11371	125635
83	11531	125752
84	11653	125448
85	11769	125090
86	11903	124922
87	12025	124628
88	12140	124266
89	12274	124110
90	12398	123852
91	12520	123571
92	12633	123215
93	12767	123053
94	12885	122753
95	13011	122522
96	13140	122324
97	13340	122790
98	13473	122623
99	13608	122475
100	13798	122818
101	13915	122511
102	14051	122368
103	14214	122461
104	14338	122215
105	14464	121994
106	14586	121739
107	14713	121525
108	14837	121287
109	14947	120941
110	15058	120606
111	15172	120296
112	15307	120156
113	15441	1200111114	15598	1200381115	15743	1199771116	15874	1198081117	16007	119647
118	16142	119506
119	16318	119669
120	16447	119481
121	16584	119357
122	16708	119136
123	16828	118881
124	16953	118675
125	17078	118465
126	17203	118257
127	17327	118046
128	17457	1178731129	17613	117871
130	17749	117740
131	17875	117541
132	18000	117340
133	18137	117217
134	18269	117058
135	18395	116864
136	18515	116636
137	18641	116441
138	18754	116168
139	18883	115998
140	19009	115811
141	19138	115640
142	19254	115393
143	19374	115171
144	19452	1147051145	19577	1145131146	19703	1143331147	19824	1141221148	19960	1140001149	20092	1138571150	20237	1137821151	20370	113644
152	20511	113548
153	20633	113351
154	20751	113127
155	20883	112984
156	21008	112801
157	21131	112610
158	21257	1124391159	21382	1122551160	21516	1121261161	21648	1119861162	21782	1118511163	21910	1116891164	22044	111560
165	22169	1113811166	22311	1112871167	22452	1111941168	22562	1109441169	22613	1104061170	22745	1102691171	22829	1099001172	22954	109730173	23276	110498
174	23419	110408
1175	23414	1096221176	23554	109522177	23854	110159
178	24019	110165
179	24167	110096
180	24342	110144
181	24509	110156
182	24651	110057
183	24811	110031
184	24963	109972
185	25088	109797
186	25224	109663
1187	25190	1088031188	25326	108676189	26222	111791
190	26357	111641
191	26485	111458
192	26639	111390
193	26767	111207
194	26891	111013
195	27016	110824
