ad_id,subject,price_byn,company_ad,list_time,condition,brand,processor,rom_volume,rom_type,diagonal,os,videocard,videocard_brand,region,gaming_laptop,matrix_type,display_resolution,ram_volume,ram_type,battery_life
1066367037,Игровой ноутбук Acer Nitro AN515-54,1200.0,False,2026-04-25T19:59:58Z,Б/у,Acer,,,,,,,,Гомельская область,Да,,,,,
1066365628,Ноутбук для работы от asus,0.0,False,2026-04-25T19:58:45Z,Б/у,ASUS,,128 ГБ и менее,eMMC,11.6'' / 29.5 см,Windows 10,,,Гомельская область,,,1920 х 1080,8 Гб,DDR2,2-4 часа
1066365541,Ноутбук,670.0,False,2026-04-25T19:57:06Z,Б/у,,,,,,,,,Минск,,,,,,
1066114023,Игровой ноутбук Lenovo LOQ,2300.0,False,2026-04-25T19:55:21Z,Б/у,Lenovo,Intel Core i5,512 Гб,SSD,15.6'' / 39.6 см,Windows 11,Встроенная и дискретная,NVIDIA GeForce RTX 3050 6 ГБ,Минск,Да,IPS,1920 х 1080,24 Гб,DDR5,4-6 часов
1050010863,HP ProBook 455 G4,450.0,False,2026-04-25T19:53:51Z,Б/у,HP,AMD A6,128 ГБ и менее,HDD + SSD,15.6'' / 39.6 см,Windows 10,,,Минская область,,,1920 х 1080,4 Гб,DDR4,2-4 часа
1066365320,Ноутбук Самсунг R518,120.0,False,2026-04-25T19:53:09Z,Б/у,Samsung,Intel Core Duo,128 ГБ и менее,SSD,15.6'' / 39.6 см,Windows 7,Дискретная,,Брестская область,,TN + Film,1366 х 768,4 Гб,DDR2,1 час и меньше
1066365301,Нетбук Asus,100.0,False,2026-04-25T19:52:44Z,Б/у,ASUS,,,,,,,,Брестская область,,,,,,
1066365271,Ноутбук LENOVO,900.0,False,2026-04-25T19:51:57Z,Б/у,Lenovo,Intel Pentium Gold,128 ГБ и менее,SSD,,Windows 10,Встроенная,,Гродненская область,,TN + Film,1366 х 768,4 Гб,DDR4,
1066365216,Ноутбук Самсунг,500.0,False,2026-04-25T19:50:48Z,Б/у,Samsung,,,,,,,,Гомельская область,,,,,,
1060274028,Ноутбук Acer,700.0,False,2026-04-25T19:47:18Z,Б/у,Acer,Intel Core i7,1000 Гб,HDD + SSD,15.6'' / 39.6 см,Windows 10,Встроенная,NVIDIA GeForce 940MX 2 ГБ,Брестская область,,TN + Film,1920 х 1080,16 Гб,DDR4,2-4 часа
1066364901,MacBook Air M1 / 93% Аккумулятор / Идеальное состо,1600.0,False,2026-04-25T19:44:19Z,Б/у,Apple,Apple M1,256 ГБ,SSD,13.3'' / 33.8 см,Mac OS,Встроенная,,Минск,,IPS,2560 х 1600,8 Гб,LPDDR4X,10 и более часов
